,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
Cer 41:0 (d18:0/23:0),19889,3254,20052,13916,3168,22592,13281,47285,53458,32847,58885,8325,45317,45937,17369,16690,38581,21512,31604,18547,51677,24461,13267,22059,21537,27656,30333,29719,13560,25625,23693,34343,14112,11279,11444,12898,12531,30276,39570,27982,35274,8834,7476,19814,13324,21780,11404,7017,13771,11232,15761,19938,14243,10675,65141,49117,35795,16005,21116,30969,33040,6462,10582,18833,8144,3563,17314,16594,7621,10814,23468,28094,6050,4991,12448,25154,9539,15997,19978,21270,21366,33920,12925,24408,29200,12478,15908,24193,9498,6623,694,5360,2992,4476,5048,15462,2634,6289,2407,4870,9075,3156,10468,5948,7819,25232,13240,31932,43013,19982,14963,16420,24541,20426,11295,26260,14083,26570,26435,15396,25958,14881,13524,40567,26341,20870,11922,47766,26729,28195,46544,19987,21480,17413,13257,26495,13582,20221,29649,24234,9107,15235,20324,46493,25808,21225,15709,5375,49301,12186,10738,25631,28380,16335,11536,5678,6817,10967,12266,15900,17098,14932,7931,8749,13740,19279,12295,39530,12443,3059,25174,11365,7131,6568,9237,14679,21037,13480,8996,10705,23443,5715,10372,28546,20526,7040,18810,6322,15410,4611,23705,21883,11613,7260,14476,26042,5850,16869,18993,15314,27922,12534,16200,23942,26718,13989,7413,16617,25260,14278,3347,13155,18895,28428,6656,10323,6772,6870,5356,15020,7845,9724,11813,14007,18548,10083,12491,18404,22519,3617,22412,13951,3495,8761,14032,9263,8969,4821,4888,17808,5899,12741,18772,5923,29721,7706,12945,11279,12370,21126,31404,5335,26754,19037,3349,18247,5097,16340,14163,14982,19310,12204,14992,13876,30940,20180,12549
PI 38:3 (18:0/20:3),58387,44203,54487,37627,33010,25094,67127,83624,52739,80580,69647,31166,39552,45248,38475,35858,109639,34297,58613,27912,51386,39759,54352,99733,53615,54544,50075,30890,41353,139666,92472,72486,43517,85170,59514,32815,97680,59713,36123,117162,36347,56335,57529,106284,65973,93224,50398,82318,36165,24699,53689,44130,46024,34304,35027,243864,74752,32357,88460,54444,40750,69565,69719,59538,48453,70932,66320,38674,47016,80255,81835,36982,48698,17704,42116,34026,53008,84078,54364,38698,50889,51876,50879,65401,88915,42213,18478,27857,53865,26365,23722,43580,54366,66935,22818,43913,63322,61545,33060,74120,19856,43330,64700,33766,33968,70993,77964,86699,42052,23933,26089,44462,23848,27344,17811,14745,26984,72470,34345,35953,35929,39483,19450,22593,32406,36047,42534,30649,53343,39140,38865,24651,23499,27116,47707,37829,36917,57107,38411,34060,50784,31956,30026,17112,36180,17605,21531,39029,65640,40502,90383,32573,78914,45198,72483,34372,58645,73667,40529,53777,31634,38087,49328,35360,32728,57137,48176,29716,35182,48998,44439,94482,32036,43466,77092,74398,73946,28218,45840,66111,90220,66062,26593,33695,99105,54774,42830,38602,38112,35032,25269,57941,19879,47876,20896,36798,49282,42040,108941,39822,58874,23799,33100,39528,38274,52434,20743,34917,85086,24442,36680,70198,63210,78207,41002,77294,31911,38511,19387,76564,48079,29948,37450,59071,68170,58937,42615,49622,55431,87493,69034,53559,44467,31179,33254,22306,54628,34753,28957,31317,32686,56782,56240,50705,79010,33740,40558,33397,35228,26449,36131,53572,41385,30554,51221,65240,54089,88192,34128,52959,75465,44513,45559,32923,47847,49968,45851
"FA 22:4 (7Z, 10Z, 13Z, 16Z)",21557,41227,29385,16725,24050,38751,23589,49600,9668,24416,41741,19681,21386,33531,12337,17773,37791,18252,24706,33624,30135,25800,18671,27806,29240,35371,18844,72203,18995,22864,36859,24172,21531,67369,41690,31071,29486,33443,14889,32666,25798,43904,22773,39742,29622,44854,17556,43297,41938,19991,29350,22999,18747,24182,26803,29488,37062,34164,44434,17342,25914,48220,11342,24370,33461,47340,57349,17978,21862,18506,29646,32254,33176,36657,29503,53496,15440,13299,15351,27987,27881,36331,37585,36354,29882,44521,19551,33024,23275,95595,19607,29278,44608,41993,24069,20285,53799,47166,88804,40830,51206,34580,30553,21466,13170,79425,70460,41079,27945,31946,31287,28915,28333,15641,51491,19561,15516,78288,31738,22318,39324,50415,51847,36386,59242,71386,97880,32399,56474,30138,38352,30295,20795,60958,28746,35429,94540,32089,57223,22526,28229,25427,30874,67168,21661,19418,42063,62717,23023,20256,97109,24440,31263,64681,138505,49837,63837,36417,35474,23574,58035,46058,40309,19611,88662,73352,19943,75302,62229,32165,73170,113110,26595,40448,63890,37551,57935,26575,47075,52782,80246,47604,59345,44729,63319,98758,133542,54201,59315,22187,26720,35723,28591,23078,58665,57789,68972,70060,25251,36626,37823,21719,24829,63888,78371,57088,72567,32319,183124,56790,39412,45346,52659,20235,26699,21653,51111,41140,86538,40654,30920,65156,45330,50839,77542,43498,32388,25220,25428,41462,65453,44377,17870,24146,39405,77079,49250,83936,65049,25171,36625,37130,35865,29195,57758,13030,37821,42306,64646,41032,48425,79326,78201,34782,78322,33281,71987,43512,42652,74983,116648,22231,80244,18343,97996,106620,61122
"FA 22:5 (7Z, 10Z, 13Z, 16Z, 19Z)",19143,39773,19935,14544,17366,35592,29423,93795,14917,24947,39665,24452,25859,27843,11067,11493,23369,18337,27158,44677,25172,23086,19421,19941,21222,34041,19514,75923,16587,14776,41259,22584,23089,51858,49519,26178,22234,24010,12811,32250,27076,52948,17966,48012,29221,36884,14378,42313,33987,18162,19642,20556,20411,26082,25729,25075,43208,44644,42907,12228,23633,36368,11319,19790,33892,58648,82063,16847,20677,18000,28412,33593,26872,34893,28946,37559,12013,10053,17895,31092,26465,34878,31619,33843,29232,43985,20454,39730,16722,80354,24056,22432,42127,54645,13253,22953,42179,36192,146143,41720,76226,34613,30818,13138,11666,81031,213975,41067,21598,35751,32869,32146,24023,10756,72274,13471,13735,94505,20334,14486,49149,43243,47557,35073,64029,95654,289952,50965,49683,30769,41340,30653,16304,93427,16491,27892,104626,29377,56017,34964,38205,20677,23026,55239,14502,18106,50260,90056,13492,8042,110525,14059,42669,66987,113711,69930,62397,35163,46429,28912,51505,40068,47468,17573,87423,76285,18007,94316,69456,30206,74594,80751,34841,33374,67211,39165,88369,26472,52822,47426,69002,36623,51562,51369,71127,156129,131845,51469,67718,18086,22666,74943,22025,18997,48810,80135,98906,87392,20501,36328,26830,16142,21695,73614,116758,43271,78364,26152,175176,77123,101124,42217,78173,15854,23259,20649,54657,30685,58713,41556,24465,95587,58703,76770,143263,45636,24604,14502,26838,38078,81899,33474,25190,24418,37624,75297,49033,98225,56279,25018,35059,32435,45451,27726,81821,12045,46353,51382,93404,22904,66948,143391,88911,30470,65199,46157,122452,36936,58502,106361,131233,24642,90520,14989,155020,132089,78114
FA 16:1 (9Z),37164,53794,39617,26007,17105,26708,48109,201135,14138,37605,67173,54016,67498,47191,18564,18253,124852,12351,46170,79001,72228,35749,33450,38611,28375,129565,30106,347992,31173,104098,65101,51419,62258,85863,90737,81080,84203,81509,16363,88493,29382,74431,21298,77468,45201,101544,18146,111780,95065,43794,17879,44837,19488,24646,35146,87823,71662,46651,64109,30155,43734,80916,22551,25856,83880,65651,354068,28858,42782,21814,66238,90900,61683,113381,35115,90365,16078,24229,28674,50151,33497,119793,73072,62093,73081,63937,14937,98008,18358,567562,46598,17356,95384,61117,20376,29554,99503,223709,339441,59357,228233,68168,61407,18992,23446,562455,518971,132458,39396,65285,47366,41280,32258,28115,160209,14177,19618,630692,56573,29532,177862,63664,161326,29002,360834,116409,880160,40150,310344,52726,62558,67515,28410,516060,40411,63616,378161,75989,101137,84139,61651,35968,54651,772789,17133,19117,152145,331728,27272,13890,352811,23204,43868,86496,651851,356654,398363,87304,115765,27063,174488,43163,189790,17752,628266,377924,22056,161988,222761,49638,83127,302289,174235,47106,231058,116413,279020,30330,305312,55773,273531,54602,208309,63967,241364,759068,539348,350436,103935,38093,35185,94446,36072,27029,225655,146472,195391,109044,86280,66348,84491,11425,88615,101950,306666,74810,239245,37391,977601,134369,238343,82096,102115,42587,55293,25573,244989,74844,259860,166636,87198,111110,306554,227891,309636,48890,51209,51332,80273,64795,161630,52966,64116,32447,37774,619932,174561,103838,114170,70146,96490,54108,126246,40591,201288,34297,102253,209523,575425,82541,112004,148428,136567,39233,182309,80131,111743,84364,142735,278018,169055,33191,473808,35877,331455,405032,218285
"FA 18:2 (9Z, 12Z)",3187039,3595585,2361198,1066722,1235165,4018336,4367205,12433516,1080434,1486958,5872656,2492166,1676336,2054331,1198310,1042467,3400757,829532,3146728,3148469,2423091,2913480,3711070,1999466,1083416,7348930,2589798,7765736,1471223,1548413,3904227,1802944,2452046,6868726,3828950,3306012,5517080,3627671,1389083,3870943,3240534,4836727,1367490,6674510,1353730,2866348,891329,2010057,3368386,2537378,979434,1796552,868184,2571794,2240522,3449666,5926533,5965548,3359114,2469611,1985048,3019811,1091534,2429010,3332555,4934022,10073645,2202713,2564018,2122721,4076754,4626160,2496092,4137298,4398320,2889440,1397692,2849204,1496828,2095956,2820234,3798954,3403294,4190294,2401018,3172776,1013399,4400610,1904276,14053463,1535586,4229120,6569807,7342978,1600296,2339068,6629941,4335741,9364896,4003258,7633622,4343062,3147921,1747042,784669,7953030,11866248,3820501,2808560,2698201,5240060,3163561,2318308,1099762,8328350,2531037,2941718,11220567,3297682,1579915,6628706,3835355,4604055,2831214,10923924,9460652,13010022,3773778,10036972,2963346,2275224,4466046,3545215,8908247,3090082,4292029,11821232,10775492,6431992,4647660,4784889,1348356,2977676,7990836,2774872,4364016,4310520,7504482,2989724,1141088,10736814,1220494,4640081,5419256,13751879,7948738,6778840,4610312,5368618,3616755,5523183,3938578,5745736,1602623,14287994,13089374,1038436,5107066,9518103,2740672,6936136,16457186,5611136,8447963,11477766,6044738,10357478,4042522,6827565,5827730,9007277,3547648,7114954,7353080,7133941,16110900,16012479,8386790,3780556,3442980,2486554,7759672,2415927,3035937,7397954,6930908,7413660,11553343,2940936,4631648,5526954,1816371,4529022,7065335,13528817,7232830,8294438,3852268,17495648,7604901,8403047,7816887,2736069,4086572,2244465,1980830,7001094,3575913,6407441,5138432,2502037,9309560,9829344,5675641,9093219,2509128,7481285,2278400,5808320,5608392,12281662,2054088,3225394,1713536,5747659,9776577,7951318,6927947,5493278,2724074,3670132,3160913,4373327,2277016,12978504,691980,6614090,6801617,9100094,7452772,8532118,7843570,8697287,4434194,8180642,4398651,10344767,1868603,7184692,10553096,11107583,1655801,12013286,1292924,10642898,12017808,7242758
FA 18:1 (9Z),2193440,3530144,2606935,924815,1965012,3722435,3227819,11451490,792149,1309319,5416600,2364760,1920723,2587226,830174,835104,4292270,756224,3213199,3445228,3312150,4007178,2766496,1788396,1203678,8119902,2390602,11345376,1395786,2060082,4435034,1621788,2195909,7619054,3550867,4670125,4292335,2889431,2090504,3137392,2604336,5613152,1059684,5090285,1494336,4134203,789506,2789035,4515866,2393396,1127731,2195716,1012484,1963674,1959194,3921908,4598890,4967482,4176064,1996254,2435294,5260532,666133,2017734,3818607,4948608,11776587,1833248,2022649,2542860,4109084,5166634,2770720,5754270,3133760,4545797,885758,1954439,1190683,1798504,2372099,4119832,4173749,4525944,2451039,3248679,958969,4922858,1528769,16348246,1843316,3251892,6263954,8040164,2185680,2015723,5983050,8923536,11772787,5304117,12064127,4441780,4381455,1773329,821346,16920962,15513487,5540118,2969803,4000068,2960189,3324543,3902972,1152493,9865897,2076401,2218010,17180496,2671842,1404149,7810156,3960618,7997420,2490132,12619535,10183971,18066576,3486610,12281836,3421449,2614169,3873048,2951724,13631763,3515935,5266038,14269688,8586630,7702144,4469205,7176788,1420451,3165712,14880537,2263079,4054641,6160264,14510368,2717924,997583,12402209,1076880,4607110,7817774,16896540,11741164,14627683,3898770,7479554,3588309,6059072,4272934,6959175,1978438,17933306,16958970,1022656,6774474,10881642,4206606,6463873,14431924,7546934,7736701,10977944,6117867,12024590,3572431,8308470,5601946,12598574,4718216,8931373,7433708,10044363,16603983,15909531,12347373,5450716,3721458,2822639,10645609,2524811,2967530,9105710,7676810,8765967,12201478,3437824,5371672,6248336,1422574,5385076,7184905,14145306,7563758,10238271,3463750,19538758,9682069,10999470,5664876,4188368,4952210,3501264,2784637,9607139,3923367,10557176,5220644,3707292,11708560,12916098,8250978,9649771,3855428,4154826,2220961,6291688,6863766,15873962,2564926,2980243,2186340,5338642,15660266,9474582,7598206,5892956,7498912,3761898,4173709,7028052,2281841,13581576,1256131,5693048,9423209,15201354,7156007,11058996,9258883,7580044,4268034,10059779,4804971,9982254,3114568,5452590,11753853,11455978,1945200,13738937,1622400,13097869,15036096,9950335
FA 20:1 (11Z),19038,32459,30539,14388,28671,50879,30853,129929,14028,17488,51693,23984,30305,32357,10804,17359,42127,15643,42579,35607,36444,37863,24903,28539,19991,65033,20531,92275,18899,20327,38593,17533,24183,81296,33437,77353,38044,24770,21215,32496,39359,72802,19218,40418,21922,49353,14106,27524,44107,26664,20029,21583,22242,19276,27026,35635,37751,42269,48349,22440,28529,35650,9529,23635,36171,52406,146046,24206,20966,23654,36137,51416,26877,47146,28331,50099,14119,24713,16872,22818,28400,49291,47803,43463,25076,34586,16349,75984,26530,220513,38392,41954,51174,75696,32775,27702,44202,90480,89673,65293,121354,53544,47088,29591,15122,238277,161276,54158,31048,44457,24300,41181,48148,14420,92878,33785,27971,226435,36150,25908,61724,43776,81381,35978,104417,81853,153814,42607,95348,38880,30553,42575,30358,146587,47288,66086,146913,90717,68036,57171,74657,21489,47511,122044,30671,41805,67827,159286,33274,18822,137148,22485,61190,99270,156497,218533,211408,38790,73376,40388,46602,44141,57546,30079,244962,182422,18554,61072,98583,44015,55505,240784,77290,95554,87610,56387,192781,45057,93241,56875,112716,70064,84236,78345,156029,108005,119232,104648,64753,55627,34181,78811,31278,41840,85697,79097,90339,142492,31961,56365,72458,21702,44622,70507,128265,73127,111850,50891,288964,96981,289770,63887,39268,52675,44626,42554,88858,56576,115197,58860,47928,85589,150194,104408,78876,47756,50018,29272,71426,65565,100960,29913,32975,30633,61520,131116,112782,63250,66854,61096,31260,56063,62411,40202,173285,17396,45102,100135,150354,65931,171763,105401,71139,59891,123919,49338,97336,50884,46897,111050,123348,31351,143799,23691,107764,144879,91256
FA 17:0,8300,14679,12641,7567,9219,19393,11828,43902,6052,12103,24278,9148,9024,10715,6264,7060,10415,6508,14444,14467,16862,11640,10172,7218,7572,21792,10147,35901,9277,12526,20533,11213,8914,21267,12591,13754,10754,9250,7094,11197,9959,23041,7377,17062,10385,12479,4541,10449,17959,12789,9108,10951,5740,8845,9202,16473,16583,17682,16383,10697,12091,21944,5636,9448,15483,16776,34911,7206,10022,8521,14470,13013,11900,15337,14094,19731,3575,6651,6710,11168,10566,14457,15829,19136,9253,12816,7049,14966,8267,33696,7433,10960,19771,24329,9484,12883,20899,32498,33608,17563,44469,17416,18312,7417,5814,39874,47341,22652,11974,11957,11840,13704,10559,5980,24646,6898,5911,41605,8043,7888,18346,15555,16964,11742,24542,25897,55233,13258,29882,10185,8643,12691,12839,29045,11733,15443,33803,23744,21760,17427,14148,7045,8183,28992,10047,10070,17345,39959,13573,7091,51899,10269,19939,28899,64442,22342,38982,15517,18584,10889,19429,13480,20257,7850,44525,40118,5416,27174,26428,11455,21479,49649,19939,22136,32507,21560,32623,11153,20748,23061,33467,16121,21729,19238,23551,44064,40301,30415,24660,11448,23759,21917,9086,10482,23790,21082,25246,31163,10835,15951,17139,5589,14222,26681,38740,20516,20550,11431,43224,22617,31217,27521,18504,13855,10893,10099,22309,19486,24099,11492,15352,26704,26749,21655,34125,17142,14942,8293,14114,18129,28967,11253,6663,10069,12679,33885,31541,22462,17083,13381,14606,14954,16001,9965,31161,11458,19099,19199,25447,16030,26807,27638,19443,13359,26356,13481,27890,13014,21195,40886,29817,8419,32491,6657,28941,50125,22383
FA 16:0,1160056,1555194,1293114,698269,1032701,1683287,1732016,3800671,621072,1178462,2105531,996263,850809,1493397,622176,682315,2014357,778051,1420212,1521203,1793998,1619657,1192191,945286,906335,2748858,1087843,3884876,765728,1961704,2487264,1261917,1120506,2401937,1645706,1431197,1885880,1368184,1278190,1383352,1138623,2094222,757046,2525481,1019809,1803074,637666,1430922,1850541,1389243,949378,1240762,707974,961337,1052364,1898437,2019371,1982202,2257522,956675,1214064,3041099,591793,1145413,1665121,1914420,3490813,955844,965233,1211587,1618644,1738359,1583201,1776744,1416866,2194500,577020,804561,798696,1037324,980319,1748259,1573422,2039256,1209527,1651690,816395,1658540,942590,4150047,959276,1309946,2484414,2386700,909334,1018126,2446898,2482667,4266595,1992691,3326988,1765827,1820545,781324,617708,4487278,4396099,1826266,1373749,1422052,1372758,1398034,1149954,599136,2640050,729447,859702,5471350,1210968,755917,2202898,1563473,1937941,1117702,3639303,3164197,7536199,1421852,3727772,1198483,1203935,1250347,1073474,4465244,1231502,1727433,3947979,2326436,2408964,1384939,1702180,773853,1063118,4691104,1087922,1085705,1943591,3853906,1499711,777396,6766086,969421,2008707,2316420,9031515,2642483,4154750,1525593,1988612,1434576,2414768,1656932,2370800,766043,5297548,5186684,592487,3090508,3042972,1602613,2379232,5427414,2173743,2364934,3674097,2367565,3528451,1212851,2301973,2047966,4297749,1570050,2897894,2294404,3043632,6249106,6243519,3747236,2393088,1212523,1104307,2300563,1178427,1072772,2620689,2744923,2860560,3651520,1374226,1900611,2003008,697020,1576386,2674597,4560539,2540502,2733492,1176961,8013994,2816843,2634662,2630522,2332630,1491250,1331458,1090192,3015259,1444332,3158684,1968910,1195746,3390404,3415452,2293936,3749429,1576339,1739650,940467,1715634,2171734,7677138,1215412,1100614,1039907,1452781,4645894,2655664,2388132,1947561,1712603,1558472,1493648,1689554,997592,4531003,582139,1867143,2571739,4182098,2033439,3161582,2584486,2517627,1242265,3013521,1623972,2671831,1435838,2314360,4965808,3620229,803576,4324468,736634,4571564,4608027,2711782
FA 18:0,646067,785423,883479,478163,954568,1264168,1072735,2636508,562213,713688,1166696,623939,564005,740238,401986,555340,840508,616926,735868,764823,878679,941591,540724,606650,630151,1040829,558508,1860861,471036,1038587,1885825,786489,616904,1261900,756127,912663,722702,552975,545782,620068,687650,1704930,647162,1058558,663405,1031545,456437,734617,986350,901579,695764,630361,554248,582041,553315,1053031,861871,850317,999830,585955,703413,1246219,504813,699891,1008880,855660,1706243,534494,600564,645969,858334,856673,652546,804700,731082,1030512,396816,476117,442394,563973,580260,812231,904055,1177536,593002,865560,589072,1194048,642185,1825065,558878,743198,1275645,1412211,735185,673680,917848,1487145,1942220,1285013,1687105,1048336,1060496,582387,533080,2327202,2179056,1260640,831460,803104,587734,831306,734611,396744,1135971,505289,479147,2315754,683431,644807,1119530,827154,931454,745230,1188177,1626903,1640698,782671,1455508,659211,566699,697464,723343,1549402,679830,1002694,1741982,1185263,1440736,829456,758631,473765,627833,1297026,717012,734048,956855,2392918,905002,725581,3473088,868201,1508753,1610300,3767951,1310732,1974234,894002,1167866,780119,1320970,870225,914260,504466,1938311,1952958,438146,1372978,1347823,773371,1107007,3967454,1412481,1466911,1616486,1236197,2039693,698645,1297044,1158487,1918130,1116927,1245001,1227798,1345681,1544929,1503089,1528659,1553326,882215,703513,921974,726606,677255,1320620,1097780,1445931,2142337,711680,919487,1137475,423894,704410,1415741,1868706,1341371,1212297,753536,2981879,751152,1000231,1608399,1132747,806233,812749,745530,1467157,1170162,1533504,830339,852840,942435,1542530,1177010,1222454,868728,962581,599471,906842,946297,2157343,716637,501139,651100,797579,1348249,1856940,852816,1140805,944941,641428,829340,732123,684026,1413975,469708,936754,1011235,1092043,781167,1432305,1294716,1001303,782905,1485904,681374,1272510,815486,1024897,2035893,1517840,576271,1648521,479835,1609549,1503110,1344707
"FA 22:6 (4Z, 7Z, 10Z, 13Z, 16Z, 19Z)",62734,95137,77296,59361,57531,111120,63167,323201,57936,58113,95683,62778,76398,66127,34954,64312,63652,62231,102030,148262,100723,61716,79325,56798,88914,102838,64854,164340,50242,70943,114906,61121,109012,139179,73761,90133,66551,72221,47387,85750,94680,212481,69936,105768,78020,82652,46353,75393,80720,78589,45780,67331,50698,55808,79964,73600,65512,114840,127314,47506,68652,71460,40129,65983,114319,133495,249733,44181,88700,82012,56437,131527,86402,143037,78329,103450,39567,26265,63701,80052,71236,115966,73607,83637,67917,89227,73568,238971,79810,210383,115655,70986,161812,94882,48609,108935,125805,90777,220889,110859,175000,74737,105281,43798,49158,187118,367108,141420,83384,125729,139701,72843,84988,43424,143672,50980,73431,184268,38885,51604,158145,91605,79307,84747,147196,252148,378444,165234,87397,66571,92228,71299,63695,259347,69740,94887,232634,83401,194530,112162,124175,56337,78811,139326,32551,44690,130839,366686,95371,32506,264750,66786,121986,207779,209924,182430,175438,54273,128768,94092,128230,91050,107195,63306,244512,147692,82628,160725,209912,128328,147351,273331,154156,78470,120919,106963,277909,70506,102119,130153,198287,69718,110730,138083,150187,252450,188389,159971,187929,52481,92808,205470,56389,76246,139317,159753,225826,185516,52981,112879,62450,46287,72670,174464,240434,123790,129449,127720,345735,161447,254323,105920,178321,52596,76694,66606,149814,110841,140658,106441,73105,223646,191266,205068,439662,95364,83800,75808,59060,74162,119147,62323,77133,89551,89275,178267,119515,301430,139810,128744,146204,152244,143037,81423,220959,47665,124304,142835,188552,66438,97629,241196,107084,92206,103057,74697,168629,148053,154524,248791,263931,106216,188776,53363,395995,212479,136316
"FA 22:5 (4Z, 7Z, 10Z, 13Z, 16Z)",16088,24181,21113,12742,24527,25877,11206,71142,3291,22613,33765,18338,18909,18122,8050,15308,26581,15206,24424,23876,29713,17118,15542,16514,19906,28610,16790,50303,11475,23060,30049,17300,18914,44690,26641,20081,16354,23504,11149,30795,22351,34396,10729,29772,18226,32129,12927,28689,26961,27837,20775,14379,13230,17462,20031,20270,22339,25268,31910,15757,18639,27524,8121,20652,25109,33027,34364,12313,17839,16362,13856,24349,32838,22522,24087,62283,16172,6221,10921,17454,14831,28862,23605,30897,20368,25787,16722,42797,29794,117317,14658,28762,33194,39268,22595,25665,38242,31242,57775,30048,37619,17725,37654,11290,11697,71204,51583,35522,18181,31274,26479,24391,31355,12643,41625,17918,13539,43416,20185,9907,28268,35077,26495,18597,46458,67898,59445,24263,29641,17501,24236,13731,12786,44116,16177,22879,68080,29572,44902,14417,25947,18893,29714,62042,10081,11645,18636,47536,15609,11294,83864,21724,25029,48280,73012,37269,36691,19453,24389,15544,36042,36178,20949,13140,73724,58186,16535,35943,47841,25065,40176,96957,31651,19976,38101,22894,54989,18957,33994,34144,72054,23692,36579,28980,28309,50907,48706,43348,49976,13964,16881,30679,20907,15139,36359,44647,45160,96137,23486,35197,37168,12510,17170,28112,53759,46720,39358,16940,161947,37728,38082,27909,34642,25958,18820,17317,39559,30465,36407,36759,17613,82399,37584,28913,50250,24896,26303,30874,15282,27213,40355,22233,29020,17881,30764,59413,29267,79465,47810,26262,20815,34570,26921,11214,41504,11495,25235,21484,67236,43672,25771,66553,50327,29498,34148,21441,45247,47705,46630,67786,88317,17279,58678,14594,89909,70065,36052
